"building_type","gtc_btu_per_hftF","baseline_electricity_consumption_kwh","baseline_natural_gas_consumption_mbtu","baseline_site_energy_mbtu","baseline_source_energy_mbtu","baseline_carbon_emissions_mt","baseline_energy_cost","baseline_peak_electricity_demand_kw","gshp_electricity_consumption_kwh","gshp_natural_gas_consumption_mbtu","gshp_site_energy_mbtu","gshp_source_energy_mbtu","gshp_carbon_emissions_mt","gshp_energy_cost","gshp_peak_electricity_demand_kw","savings_abs_electricity_consumption_kwh","savings_abs_natural_gas_consumption_mbtu","savings_abs_site_energy_mbtu","savings_abs_source_energy_mbtu","savings_abs_carbon_emissions_mt","savings_abs_energy_cost","savings_abs_peak_electricity_demand_kw","savings_pct_electricity_consumption_kwh","savings_pct_natural_gas_consumption_mbtu","savings_pct_site_energy_mbtu","savings_pct_source_energy_mbtu","savings_pct_carbon_emissions_mt","savings_pct_energy_cost","savings_pct_peak_electricity_demand_kw","total_ghx_length","cooling_capacity_ton","length_per_ton_of_capacity_ft_ton","max_lft_f","min_lft_f","city","climate_zone"
"Medium Office",0.716,136340,0.1,465.42842,1602.23495006,107.613283855832,21078.164,166.034,141150,0,481.74495,1658.64786285,111.40273966437,21821.79,150.19,-4810.00000000003,0.1,-16.3165300000001,-56.4129127900005,-3.78945580853843,-743.626000000007,15.844,,,,,,,,45600,112,407.142857142857,80.5,68,"San Diego","3B (Coast)"
"School",0.716,943400,476.3,3696.1242,11605.9743206,777.158876544235,150175.619,784.573,906200,0,3092.8606,10648.7190458,715.21900590756,140098.52,767.465,37200,476.3,603.2636,957.255274799998,61.9398706366748,10077.099,17.1079999999999,,,,,,,,160000,488,327.868852459016,93,68.8,"San Diego","3B (Coast)"
"Small Hotel",0.716,203590,87.8,782.65267,2488.25534281,166.689226699411,32278.602,101.719,162200,88.5,642.0886,2002.6475498,134.070020451906,25884.107,97.293,41390,-0.700000000000003,140.56407,485.60779301,32.6192062475048,6394.495,4.42599999999999,,,,,,,,43200,65,664.615384615385,80.1,67.7,"San Diego","3B (Coast)"
"Medium Office",1.743,136340,0.1,465.42842,1602.23495006,107.613283855832,21078.164,166.034,138420,0,472.42746,1626.56774478,109.248085188396,21399.732,149.233,-2080.00000000006,0.1,-6.99904000000015,-24.3327947200005,-1.63480133256445,-321.568000000014,16.801,,,,,,,,27900,112,249.107142857143,80,64.9,"San Diego","3B (Coast)"
"School",1.743,943400,476.3,3696.1242,11605.9743206,777.158876544235,150175.619,784.573,844000,0,2880.572,9917.809396,666.1276108872,130482.4,722.676,99400,476.3,815.5522,1688.1649246,111.031265657035,19693.219,61.8969999999999,,,,,,,,160000,488,327.868852459016,80,65.7,"San Diego","3B (Coast)"
"Small Hotel",1.743,203590,87.8,782.65267,2488.25534281,166.689226699411,32278.602,101.719,159990,88.5,634.54587,1976.67793041,132.325776352308,25542.441,97.311,43600,-0.700000000000003,148.1068,511.5774124,34.3634503471028,6736.161,4.40799999999999,,,,,,,,19000,65,292.307692307692,80.3,65.2,"San Diego","3B (Coast)"
"Medium Office",1.364,227170,32.67,808.00121,2705.14099603,181.528771425013,18495.6107166667,257.284,157160,0,536.38708,1846.78071644,124.038643752408,12657.9283333333,169.844,70010,32.67,271.61413,858.360279589999,57.4901276726053,5837.68238333333,87.44,,,,,,,,36720,125,293.76,80.1,56,"OKC","3B"
"School",1.364,1129600,2149.6,6004.9248,15621.2464864,1038.57397511412,104071.539666667,1026.729,1035900,0,3535.5267,12172.8184281,817.58482478442,83433.1125,903.058,93699.9999999999,2149.6,2469.3981,3448.4280583,220.989150329701,20638.4271666666,123.671,,,,,,,,160000,601,266.222961730449,85.2,55.1,"OKC","3B"
"Small Hotel",1.364,259080,160.8,1045.04004,3220.03205772,215.478075608981,21846.616,152.254,191660,123.7,777.83558,2387.26920194,159.729087649793,16189.9488333333,111.219,67419.9999999999,37.1,267.20446,832.76285578,55.7489879591876,5656.66716666666,41.035,,,,,,,,20400,79,258.227848101266,80.6,57.9,"OKC","3B"
"Medium Office",1.058,227170,32.67,808.00121,2705.14099603,181.528771425013,18495.6107166667,257.284,158600,0,541.3018,1863.7020974,125.17516479468,12773.9083333333,170.507,68570,32.67,266.69941,841.43889863,56.3536066303333,5721.70238333333,86.777,,,,,,,,43200,125,345.6,80.8,57.8,"OKC","3B"
"School",1.058,1129600,2149.6,6004.9248,15621.2464864,1038.57397511412,104071.539666667,1026.729,1064600,0,3633.4798,12510.0709514,840.23632055748,85744.6583333333,926.16,65000,2149.6,2371.445,3111.175535,198.337654556642,18326.8813333333,100.569,,,,,,,,160000,601,266.222961730449,80.8,57.8,"OKC","3B"
"Small Hotel",1.058,259080,160.8,1045.04004,3220.03205772,215.478075608981,21846.616,152.254,191760,123.7,778.17688,2388.44429784,159.808012722173,16523.948,111.101,67319.9999999999,37.1,266.86316,831.58775988,55.6700628868076,5322.668,41.153,,,,,,,,25500,79,322.784810126582,80.8,57.8,"OKC","3B"
"Medium Office",1.759,227170,32.67,808.00121,2705.14099603,181.528771425013,18495.6107166667,257.284,157000,0,535.841,1844.900563,123.9123636366,12645.0416666667,170.449,70170,32.67,272.16021,860.240433029999,57.6164077884133,5850.56904999999,86.835,,,,,,,,30240,125,241.92,80.6,54.2,"OKC","3B"
"School",1.759,1129600,2149.6,6004.9248,15621.2464864,1038.57397511412,104071.539666667,1026.729,1014000,0,3460.782,11915.472426,800.3002339332,81669.25,885.614,115600,2149.6,2544.1428,3705.7740604,238.273741180922,22402.2896666667,141.115,,,,,,,,160000,601,266.222961730449,81.5,55.3,"OKC","3B"
"Small Hotel",1.759,259080,160.8,1045.04004,3220.03205772,215.478075608981,21846.616,152.254,191460,123.7,777.15298,2384.91901014,159.571237505033,15420.5075,111.29,67620,37.1,267.88706,835.11304758,55.9068381039476,6426.1085,40.964,,,,,,,,17100,79,216.455696202532,80.6,54.2,"OKC","3B"
"Medium Office",1.117,119760,0.87,409.61088,1408.24488984,94.5801761868625,18522.6617,164.293,109560,0,373.92828,1287.43506804,86.470309299528,16937.976,151.7,10200,0.87,35.6826,120.8098218,8.1098668873345,1584.68569999999,12.593,,,,,,,,25080,112,223.928571428571,80.6,58.9,"San Jose","3C"
"School",1.117,827200,1080.3,3903.5336,10900.0808848,726.762586993859,137654.724,905.174,731600,0,2496.9508,8597.0016044,577.41582953208,113105.36,791.81,95600,1080.3,1406.5828,2303.0792804,149.346757461779,24549.364,113.364,,,,,,,,160000,556,287.769784172662,79.9,59.5,"San Jose","3C"
"Small Hotel",1.117,182490,158,780.83837,2316.96850791,154.83783783083,29642.01,97.911,136630,154.7,621.01819,1774.46592817,118.417073930355,22502.667,94.37,45860,3.30000000000001,159.82018,542.50257974,36.4207639004748,7139.343,3.541,,,,,,,,16200,63,257.142857142857,80.4,60.1,"San Jose","3C"
"Medium Office",0.716,119760,0.87,409.61088,1408.24488984,94.5801761868625,18522.6617,164.293,109760,0,374.61088,1289.78525984,86.628159444288,16968.896,174.956,9999.99999999999,0.87,34.9999999999999,118.45963,7.9520167425745,1553.7657,-10.663,,,,,,,,33600,112,300,80.3,60.1,"San Jose","3C"
"School",0.716,827200,1080.3,3903.5336,10900.0808848,726.762586993859,137654.724,905.174,760000,0,2593.88,8930.72884,599.830550088,117496,833.093,67200,1080.3,1309.6536,1969.3520448,126.932036905859,20158.724,72.081,,,,,,,,160000,556,287.769784172662,80.1,61,"San Jose","3C"
"Small Hotel",0.716,182490,158,780.83837,2316.96850791,154.83783783083,29642.01,97.911,137320,154.7,623.37316,1782.57408988,118.961656929777,21229.672,94.314,45170,3.30000000000001,157.46521,534.39441803,35.8761809010528,8412.338,3.59700000000001,,,,,,,,23250,63,369.047619047619,80.1,61,"San Jose","3C"
"Medium Office",1.743,119760,0.87,409.61088,1408.24488984,94.5801761868625,18522.6617,164.293,108880,0,371.60744,1279.44441592,85.933618807344,16832.848,151.966,10880,0.87,38.00344,128.80047392,8.6465573795185,1689.8137,12.327,,,,,,,,18600,112,166.071428571429,80.8,59.8,"San Jose","3C"
"School",1.743,827200,1080.3,3903.5336,10900.0808848,726.762586993859,137654.724,905.174,727500,0,2482.9575,8548.8226725,574.1799015645,112471.5,793.05,99700,1080.3,1420.5761,2351.2582123,152.582685429359,25183.224,112.124,,,,,,,,122500,556,220.323741007194,80.3,58.8,"San Jose","3C"
"Small Hotel",1.743,182490,158,780.83837,2316.96850791,154.83783783083,29642.01,97.911,135070,154.7,615.69391,1756.13443213,117.185842801227,22261.491,94.144,47420,3.30000000000001,165.14446,560.83407578,37.6519950296028,7380.519,3.767,,,,,,,,12000,63,190.47619047619,80.3,58.8,"San Jose","3C"
"Medium Office",1.023,198230,72.07,748.62899,2408.09304257,161.382883616444,22880.9707833333,248.014,134720,0,459.79936,1583.08919648,106.327857510336,15053.8373333333,169.791,63510,72.07,288.82963,825.00384609,55.0550261061077,7827.13345,78.223,,,,,,,,33180,126,263.333333333333,80.7,51.4,"Baltimore","4A"
"School",1.023,968100,2735.7,6039.8253,14363.4878079,951.200236819417,136273.2655,1016.454,920200,0,3140.6426,10813.2324718,726.26851604076,102824.681666667,875.682,47899.9999999999,2735.7,2899.1827,3550.2553361,224.931720778657,33448.5838333333,140.772,,,,,,,,160000,596,268.456375838926,84,51.1,"Baltimore","4A"
"Small Hotel",1.023,242390,202.3,1029.57707,3069.22655201,205.144152798693,29192.9615833333,139.963,174410,149.9,745.16133,2213.17555919,147.906637974418,21033.0660833333,107.885,67980,52.4,284.41574,856.05099282,57.2375148242744,8159.8955,32.078,,,,,,,,18000,73,246.575342465753,80.4,53.3,"Baltimore","4A"
"Medium Office",0.838,198230,72.07,748.62899,2408.09304257,161.382883616444,22880.9707833333,248.014,134370,0,458.60481,1578.97636083,106.051619757006,15014.72775,169.014,63860,72.07,290.02418,829.11668174,55.3312638594377,7866.24303333333,79,,,,,,,,38400,126,304.761904761905,79.9,52,"Baltimore","4A"
"School",0.838,968100,2735.7,6039.8253,14363.4878079,951.200236819417,136273.2655,1016.454,940600,0,3210.2678,11052.9520354,742.36923080628,105104.211666667,893.091,27500,2735.7,2829.5575,3310.5357725,208.831006013137,31169.0538333333,123.363,,,,,,,,160000,596,268.456375838926,88.4,51,"Baltimore","4A"
"Small Hotel",0.838,242390,202.3,1029.57707,3069.22655201,205.144152798693,29192.9615833333,139.963,174570,149.9,745.70741,2215.05571263,148.032918090226,21050.94475,106.84,67820,52.4,283.86966,854.17083938,57.1112347084664,8142.01683333333,33.123,,,,,,,,21600,73,295.890410958904,80,54.9,"Baltimore","4A"
"Medium Office",1.249,198230,72.07,748.62899,2408.09304257,161.382883616444,22880.9707833333,248.014,133840,0,456.79592,1572.74835256,105.633316873392,14955.5046666667,169.637,64390,72.07,291.83307,835.34469001,55.7495667430517,7925.46611666667,78.377,,,,,,,,28800,126,228.571428571429,80.6,49.5,"Baltimore","4A"
"School",1.249,968100,2735.7,6039.8253,14363.4878079,951.200236819417,136273.2655,1016.454,903500,0,3083.6455,10616.9914565,713.0880289533,100958.595833333,861.298,64600,2735.7,2956.1798,3746.4963514,238.112207866117,35314.6696666667,155.156,,,,,,,,160000,596,268.456375838926,79.9,51.2,"Baltimore","4A"
"Small Hotel",1.249,242390,202.3,1029.57707,3069.22655201,205.144152798693,29192.9615833333,139.963,174070,149.9,744.00091,2209.18023313,147.638292728326,20995.0739166667,107.791,68320,52.4,285.57616,860.046318879999,57.5058600703664,8197.88766666667,32.172,,,,,,,,15600,73,213.698630136986,80.5,52.7,"Baltimore","4A"
"Medium Office",0.972,144770,26.48,520.58001,1730.10249443,116.071105078932,14977.6054666667,198.06,129590,0,442.29067,1522.80677681,102.279001297242,13235.4586666667,157.75,15180,26.48,78.28934,207.29571762,13.7921037816901,1742.1468,40.31,,,,,,,,29250,116,252.155172413793,80.6,54.6,"Albuquerque","4B"
"School",0.972,895900,1239.6,4297.3067,11881.3273681,791.880507211701,100813.559333333,937.77,854700,0,2917.0911,10043.5446573,674.57259363186,87293.36,818.165,41199.9999999999,1239.6,1380.2156,1837.7827108,117.307913579842,13520.1993333333,119.605,,,,,,,,160000,589,271.646859083192,80.3,55.2,"Albuquerque","4B"
"Small Hotel",0.972,214350,154.6,886.17655,2687.64126165,179.750800011152,23088.327,104.044,160670,135.5,683.86671,2035.99258253,136.077348126104,17440.2626666667,100.117,53680,19.1,202.30984,651.64867912,43.6734518850476,5648.06433333333,3.92699999999999,,,,,,,,18000,77,233.766233766234,80.3,57.5,"Albuquerque","4B"
"Medium Office",0.628,144770,26.48,520.58001,1730.10249443,116.071105078932,14977.6054666667,198.06,130420,0,445.12346,1532.56007278,102.934079397996,13320.2293333333,157.59,14350,26.48,75.45655,197.54242165,13.1370256809361,1657.37613333333,40.47,,,,,,,,42000,116,362.068965517241,80.5,57.3,"Albuquerque","4B"
"School",0.628,895900,1239.6,4297.3067,11881.3273681,791.880507211701,100813.559333333,937.77,897200,0,3062.1436,10542.9604148,708.11574939336,91634.0266666667,861.869,-1300.00000000012,1239.6,1235.1631,1338.3669533,83.7647578183414,9179.53266666667,75.901,,,,,,,,160000,589,271.646859083192,90.2,56.6,"Albuquerque","4B"
"Small Hotel",0.628,214350,154.6,886.17655,2687.64126165,179.750800011152,23088.327,104.044,161600,135.5,687.0408,2046.9209744,136.811351299238,17535.2466666667,100.184,52750,19.1,199.13575,640.72028725,42.9394487119136,5553.08033333333,3.86,,,,,,,,22200,77,288.311688311688,80.4,59.7,"Albuquerque","4B"
"Medium Office",1.505,144770,26.48,520.58001,1730.10249443,116.071105078932,14977.6054666667,198.06,128560,0,438.77528,1510.70328904,101.466073051728,13130.2613333333,157.62,16210,26.48,81.80473,219.39920539,14.6050320272041,1847.34413333333,40.44,,,,,,,,22200,116,191.379310344828,80.2,52.2,"Albuquerque","4B"
"School",1.505,895900,1239.6,4297.3067,11881.3273681,791.880507211701,100813.559333333,937.77,845800,0,2886.7154,9938.9611222,667.54826219004,86384.3733333333,814.797,50099.9999999999,1239.6,1410.5913,1942.3662459,124.332245021661,14429.186,122.973,,,,,,,,126000,589,213.921901528014,80.9,53,"Albuquerque","4B"
"Small Hotel",1.505,214350,154.6,886.17655,2687.64126165,179.750800011152,23088.327,104.044,159840,135.5,681.03392,2026.23928656,135.42227002535,17355.492,100.078,54510,19.1,205.14263,661.40197509,44.3285299858016,5732.835,3.96599999999999,,,,,,,,12800,77,166.233766233766,80.5,55.5,"Albuquerque","4B"
"Medium Office",1.418,142500,22.31,508.6625,1698.8741775,113.994270724325,11558.236,240.83,86210,0,294.23473,1013.05017539,68.041304898798,6869.50016666667,152.491,56290,22.31,214.42777,685.82400211,45.9529658255267,4688.73583333333,88.339,,,,,,,,14400,110,130.909090909091,81,40.1,"Seattle","4C"
"School",1.418,604400,2109.4,4172.2172,9405.7444196,621.309745452642,67319.0506666667,711.146,588800,0,2009.5744,6918.9646592,464.71082617344,46917.5466666667,671.7,15600,2109.4,2162.6428,2486.7797604,156.598919279202,20401.504,39.4459999999999,,,,,,,,80000,448,178.571428571429,80.7,44.9,"Seattle","4C"
"Small Hotel",1.418,180460,210.5,826.40998,2350.44406114,156.826749654806,16277.0973333333,119.259,127000,185.7,619.151,1695.156193,112.937043071437,11778.8353333333,98.019,53460,24.8,207.25898,655.28786814,43.8897065833688,4498.262,21.24,,,,,,,,10800,68,158.823529411765,80,50,"Seattle","4C"
"Medium Office",1.0474,142500,22.31,508.6625,1698.8741775,113.994270724325,11558.236,240.83,86410,0,294.91733,1015.40036719,68.199155043558,6885.43683333333,152.16,56090,22.31,213.74517,683.47381031,45.7951156807668,4672.79916666667,88.67,,,,,,,,17400,110,158.181818181818,80.6,42.5,"Seattle","4C"
"School",1.0474,604400,2109.4,4172.2172,9405.7444196,621.309745452642,67319.0506666667,711.146,586300,0,2001.0419,6889.5872617,462.73769936394,46718.3383333333,97.975,18099.9999999999,2109.4,2171.1753,2516.1571579,158.572046088702,20600.7123333333,613.171,,,,,,,,102000,448,227.678571428571,80.4,50.6,"Seattle","4C"
"Small Hotel",1.0474,180460,210.5,826.40998,2350.44406114,156.826749654806,16277.0973333333,119.259,127570,185.7,621.09641,1701.85423963,113.386915984003,11824.2548333333,97.975,52890,24.8,205.31357,648.58982151,43.4398336708028,4452.8425,21.284,,,,,,,,16000,68,235.294117647059,80.4,50.6,"Seattle","4C"
"Medium Office",1.91881856898064,142500,22.31,508.6625,1698.8741775,113.994270724325,11558.236,240.83,85800,0,292.8354,1008.2322822,67.71771210204,6836.83,151.966,56700,22.31,215.8271,690.6418953,46.2765586222848,4721.406,88.864,,,,,,,,12900,110,117.272727272727,80.4,38.9,"Seattle","4C"
