year,census_division_abbr,elec_price_res,elec_price_com,elec_price_ind
2010,NE,0.15969,0.15969,0.15969
2012,NE,0.17354,0.17354,0.17354
2014,NE,0.20151,0.20151,0.20151
2016,NE,0.20417,0.20417,0.20417
2018,NE,0.1921,0.1921,0.1921
2020,NE,0.19692,0.19692,0.19692
2022,NE,0.1851,0.1851,0.1851
2024,NE,0.1849,0.1849,0.1849
2026,NE,0.18925,0.18925,0.18925
2028,NE,0.19237,0.19237,0.19237
2030,NE,0.19294,0.19294,0.19294
2032,NE,0.18679,0.18679,0.18679
2034,NE,0.18249,0.18249,0.18249
2036,NE,0.18262,0.18262,0.18262
2038,NE,0.18035,0.18035,0.18035
2040,NE,0.182925,0.182925,0.182925
2042,NE,0.1855,0.1855,0.1855
2044,NE,0.18624,0.18624,0.18624
2046,NE,0.18579,0.18579,0.18579
2048,NE,0.18434,0.18434,0.18434
2050,NE,0.18341,0.18341,0.18341
2011,NE,0.166615,0.166615,0.166615
2013,NE,0.187525,0.187525,0.187525
2015,NE,0.20284,0.20284,0.20284
2017,NE,0.198135,0.198135,0.198135
2019,NE,0.19451,0.19451,0.19451
2021,NE,0.19101,0.19101,0.19101
2023,NE,0.185,0.185,0.185
2025,NE,0.187075,0.187075,0.187075
2027,NE,0.19081,0.19081,0.19081
2029,NE,0.192655,0.192655,0.192655
2031,NE,0.189865,0.189865,0.189865
2033,NE,0.18464,0.18464,0.18464
2035,NE,0.182555,0.182555,0.182555
2037,NE,0.181485,0.181485,0.181485
2039,NE,0.1816375,0.1816375,0.1816375
2041,NE,0.1842125,0.1842125,0.1842125
2043,NE,0.18587,0.18587,0.18587
2045,NE,0.186015,0.186015,0.186015
2047,NE,0.185065,0.185065,0.185065
2049,NE,0.183875,0.183875,0.183875
2010,MA,0.14981,0.14981,0.14981
2012,MA,0.14813,0.14813,0.14813
2014,MA,0.15364,0.15364,0.15364
2016,MA,0.14564,0.14564,0.14564
2018,MA,0.14607,0.14607,0.14607
2020,MA,0.14759,0.14759,0.14759
2022,MA,0.1469,0.1469,0.1469
2024,MA,0.14641,0.14641,0.14641
2026,MA,0.1464,0.1464,0.1464
2028,MA,0.1464,0.1464,0.1464
2030,MA,0.14814,0.14814,0.14814
2032,MA,0.14809,0.14809,0.14809
2034,MA,0.14989,0.14989,0.14989
2036,MA,0.14913,0.14913,0.14913
2038,MA,0.14806,0.14806,0.14806
2040,MA,0.14758,0.14758,0.14758
2042,MA,0.14695,0.14695,0.14695
2044,MA,0.14711,0.14711,0.14711
2046,MA,0.14904,0.14904,0.14904
2048,MA,0.15032,0.15032,0.15032
2050,MA,0.15141,0.15141,0.15141
2011,MA,0.14897,0.14897,0.14897
2013,MA,0.150885,0.150885,0.150885
2015,MA,0.14964,0.14964,0.14964
2017,MA,0.145855,0.145855,0.145855
2019,MA,0.14683,0.14683,0.14683
2021,MA,0.147245,0.147245,0.147245
2023,MA,0.146655,0.146655,0.146655
2025,MA,0.146405,0.146405,0.146405
2027,MA,0.1464,0.1464,0.1464
2029,MA,0.14727,0.14727,0.14727
2031,MA,0.148115,0.148115,0.148115
2033,MA,0.14899,0.14899,0.14899
2035,MA,0.14951,0.14951,0.14951
2037,MA,0.148595,0.148595,0.148595
2039,MA,0.14782,0.14782,0.14782
2041,MA,0.147265,0.147265,0.147265
2043,MA,0.14703,0.14703,0.14703
2045,MA,0.148075,0.148075,0.148075
2047,MA,0.14968,0.14968,0.14968
2049,MA,0.150865,0.150865,0.150865
2010,ENC,0.0996,0.0996,0.0996
2012,ENC,0.10077,0.10077,0.10077
2014,ENC,0.10049,0.10049,0.10049
2016,ENC,0.10411,0.10411,0.10411
2018,ENC,0.10353,0.10353,0.10353
2020,ENC,0.10338,0.10338,0.10338
2022,ENC,0.10216,0.10216,0.10216
2024,ENC,0.10145,0.10145,0.10145
2026,ENC,0.10148,0.10148,0.10148
2028,ENC,0.10085,0.10085,0.10085
2030,ENC,0.10129,0.10129,0.10129
2032,ENC,0.10128,0.10128,0.10128
2034,ENC,0.10125,0.10125,0.10125
2036,ENC,0.10143,0.10143,0.10143
2038,ENC,0.10134,0.10134,0.10134
2040,ENC,0.1011,0.1011,0.1011
2042,ENC,0.10074,0.10074,0.10074
